Job Title,Company,Industry/Domain,Location,Required Skills,Years of Experience Required,Job Description (10-20 lines; include responsibilities and qualifications),Company Details (2-3 lines about the company; used for cover letters),URL
Applied AI Engineer,Quantifind,Financial Crime Risk Intelligence / AI SaaS,"Palo Alto, CA (Hybrid); remote candidates considered",Python; JavaScript; React; PostgreSQL; AI coding tools; agentic workflows; multi-agent testing; rapid prototyping; API integration; test-driven development; client communication,4+ years of professional experience; relevant graduate or PhD work may count,"1. Rapidly prototype AI-enabled applications with internal and external stakeholders.
2. Build applications from scratch within defined technical frameworks and resources.
3. Develop independent AI-driven workflows and capabilities for regulated use cases.
4. Collect, clarify, and validate product requirements during iterative development.
5. Work across backend, frontend, data, and cloud components as needed.
6. Use AI coding assistants and agentic workflows to accelerate development responsibly.
7. Apply quality assurance and test-driven development to prototypes and production code.
8. Collaborate directly with clients, product teams, designers, and engineers.
9. Guide successful prototypes toward secure and maintainable production deployment.
10. Demonstrate strong Python, JavaScript/React, and PostgreSQL development ability.
11. Bring at least four years of professional technical experience and relevant education.
12. Meet U.S. citizenship and in-person collaboration requirements when requested.","Quantifind develops AI-powered risk intelligence software used by financial institutions and government agencies to investigate fraud, money laundering, and criminal networks.
Its SaaS platform analyzes signals from internal and public data to support KYC, customer due diligence, fraud risk management, and AML workflows.",https://www.linkedin.com/jobs/view/applied-ai-engineer-at-quantifind-4431885976
Machine Learning Engineer,Booz Allen Hamilton,Defense Technology / Government AI,"Alexandria, VA",Python; scikit-learn; TensorFlow; PyTorch; C++; Rust; Java; deep learning; computer vision; generative AI; model training; model deployment; statistical analysis; security clearance,"2+ years of experience in AI, data science, or machine learning engineering","1. Train, test, deploy, and maintain machine learning models for defense missions.
2. Analyze large and complex datasets using statistical and machine learning methods.
3. Translate mission needs into reliable AI and ML engineering solutions.
4. Define technical direction for mission-critical model development and deployment.
5. Build reusable pipelines for model experimentation, evaluation, and production use.
6. Collaborate with data scientists, software engineers, and government stakeholders.
7. Apply deep learning, computer vision, or generative AI where appropriate.
8. Develop production-quality code using Python and relevant ML frameworks.
9. Use additional systems languages such as C++, Rust, or Java when required.
10. Document model behavior, limitations, testing results, and operational requirements.
11. Bring at least two years of relevant AI, data science, or ML engineering experience.
12. Obtain and maintain the security clearance required for the client mission.","Booz Allen Hamilton is a technology and management consulting company serving defense, intelligence, and civilian government organizations.
The company combines AI, cyber, data, engineering, and mission expertise to develop solutions for complex public-sector challenges.",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-booz-allen-hamilton-4430897730
"Machine Learning Engineer, Level 4",Snap Inc.,Social Media / Recommendation and Content Intelligence,"Palo Alto, CA",Python; machine learning; ranking; recommendation systems; search; content understanding; image generation; TensorFlow; PyTorch; Caffe2; Spark ML; scikit-learn; production ML,"3+ years after a bachelor's degree, or 2+ years after a master's degree, in machine learning or a related field","1. Develop machine learning models for large-scale consumer-facing products.
2. Improve ranking, recommendation, search, and content-understanding systems.
3. Design experiments that measure model quality and user-facing impact.
4. Build training and inference pipelines that operate at production scale.
5. Work with large behavioral and content datasets to create predictive features.
6. Collaborate with product, data, infrastructure, and software engineering teams.
7. Optimize model accuracy, latency, reliability, and resource efficiency.
8. Contribute to model deployment, monitoring, debugging, and iteration.
9. Apply deep learning frameworks such as TensorFlow or PyTorch.
10. Use ML libraries and distributed tooling such as scikit-learn or Spark ML.
11. Bring relevant post-degree professional machine learning experience.
12. Communicate technical tradeoffs and results to cross-functional partners.","Snap Inc. is a technology company best known for Snapchat and camera-centered communication products.
Its products use machine learning to support content discovery, recommendations, augmented reality, advertising, and personalized user experiences.",https://www.linkedin.com/jobs/view/machine-learning-engineer-level-4-at-snap-inc-4420483152
"Applied Scientist, WHS Data-Tech",Amazon Science,Workplace Safety / Computer Vision and Predictive Analytics,"Bellevue, WA",Python; Java; C++; computer vision; video analytics; image processing; anomaly detection; activity recognition; object detection; optimization; data mining; high-performance computing; model deployment,3+ years building models for business applications; PhD or master's degree plus 4+ years may be required depending on background,"1. Develop scientific models that improve workplace health and safety outcomes.
2. Build computer vision systems for activity recognition and object detection.
3. Analyze video, image, sensor, and operational data for risk signals.
4. Create anomaly-detection and predictive-risk models for real-world environments.
5. Design experiments and evaluations that measure scientific and business impact.
6. Work with engineers to productionize models at Amazon operational scale.
7. Improve model robustness, efficiency, interpretability, and monitoring.
8. Communicate research findings and technical recommendations to stakeholders.
9. Program in Python, Java, or C++ and use modern ML methods.
10. Apply algorithms, optimization, data mining, and high-performance computing.
11. Bring at least three years of experience building models for business applications.
12. Hold an advanced quantitative degree or equivalent professional research experience.","Amazon Science applies research in machine learning, computer vision, operations, and data science across Amazon businesses.
The Workplace Health and Safety Data-Tech organization develops AI, analytics, and connected technologies intended to reduce injuries and improve operational safety.",https://www.linkedin.com/jobs/view/applied-scientist-whs-data-tech-at-amazon-science-4430207131
"Machine Learning Engineer, Alexa AI",Amazon,Conversational AI / Large Language Models,"Boston, MA",Python; PyTorch; JAX; LLM training; fine-tuning; distillation; inference optimization; vLLM; SGLang; TensorRT; MLOps; distributed systems; software architecture,3+ years of non-internship software development and 2+ years of design or architecture experience,"1. Build machine learning capabilities for Alexa's conversational AI platform.
2. Develop systems for LLM training, fine-tuning, and model distillation.
3. Improve inference throughput, latency, memory use, and serving reliability.
4. Deploy and operate large language models in production environments.
5. Create reusable ML platform components for experimentation and deployment.
6. Collaborate with applied scientists and software engineers on model improvements.
7. Diagnose model-serving bottlenecks and implement performance optimizations.
8. Apply MLOps practices for testing, release management, monitoring, and rollback.
9. Use PyTorch or JAX and evaluate tools such as vLLM, SGLang, or TensorRT.
10. Design scalable software architectures for distributed ML workloads.
11. Bring at least three years of professional software development experience.
12. Demonstrate at least two years of system design or architecture experience.","Amazon is a global technology company operating businesses in e-commerce, cloud computing, devices, logistics, media, and artificial intelligence.
Alexa AI develops the models, platforms, and evaluation systems behind Amazon's conversational assistant and voice-enabled products.",https://www.linkedin.com/jobs/view/machine-learning-engineer-alexa-ai-at-amazon-4394989625
Machine Learning Engineer I,CNN,Digital Media / Personalization and Content Discovery,"Atlanta, GA",Python; scikit-learn; production ML; recommendation systems; search; NLP; information retrieval; feature stores; A/B testing; cloud platforms; Docker; Kubernetes; MLflow; SQL; CI/CD,1+ year of experience building or operating production machine learning systems,"1. Develop machine learning systems that support CNN's digital products.
2. Improve content discovery, recommendations, search, and personalization.
3. Build reliable training, feature, evaluation, and inference pipelines.
4. Optimize real-time model performance for products serving millions of users.
5. Collaborate with platform, infrastructure, product, and editorial partners.
6. Conduct experiments and analyze model and product performance.
7. Deploy, monitor, troubleshoot, and continuously improve production models.
8. Apply software engineering practices including testing, Git, and CI/CD.
9. Use Python and libraries such as scikit-learn for model development.
10. Work with cloud, container, orchestration, tracking, and SQL technologies.
11. Bring at least one year of production machine learning experience.
12. Hold an advanced quantitative degree or demonstrate equivalent technical ability.","CNN is a global news and media organization delivering reporting and digital content across television, web, mobile, and streaming platforms.
Its data and machine learning teams improve how audiences discover relevant journalism and interact with CNN's consumer products.",https://www.linkedin.com/jobs/view/machine-learning-engineer-i-at-cnn-4417399631
Generative AI Engineer,EXL,Insurance Analytics / Enterprise Generative AI,"New Jersey, United States",Python; LLMs; RAG; vector search; AI agents; multi-agent workflows; Databricks Genie; Microsoft Copilot Studio; APIs; cloud platforms; prompt engineering; model evaluation; governance; property and casualty insurance,"5+ years of software, machine learning, or AI engineering experience","1. Design and develop generative AI solutions for property and casualty insurance.
2. Build AI assistants, copilots, and agents that support business workflows.
3. Implement retrieval-augmented generation and enterprise vector-search patterns.
4. Create multi-agent workflows with clear orchestration and tool boundaries.
5. Integrate Databricks Genie, Copilot Studio, APIs, and cloud services.
6. Develop reusable components for prompts, grounding, evaluation, and monitoring.
7. Apply governance, security, privacy, and responsible-AI controls.
8. Partner with business, analytics, architecture, and engineering stakeholders.
9. Evaluate model quality, factuality, robustness, latency, and business value.
10. Use Python and modern LLM frameworks to deliver production solutions.
11. Bring at least five years of software, ML, or AI engineering experience.
12. Demonstrate knowledge of insurance data and operational processes.","EXL is a global analytics and digital operations company that helps organizations modernize business processes with data, AI, and automation.
The company serves industries including insurance, healthcare, banking, financial services, retail, and utilities.",https://www.linkedin.com/jobs/view/generative-ai-engineer-at-exl-4429664996
Machine Learning Engineer,Intel,Semiconductors / Edge and Agentic AI,"Primary: Santa Clara, CA; additional locations may include Phoenix, AZ, Folsom, CA, and Hillsboro, OR (Hybrid)",Python; LLM architectures; model post-training; reinforcement learning; reward models; evaluation benchmarks; multi-GPU training; distributed training; software development; edge AI; agentic AI,"5+ years of software development and 2+ years of ML engineering, data science, or research experience","1. Develop machine learning technologies for client and edge computing platforms.
2. Build and improve agentic AI and large language model capabilities.
3. Design model post-training, reinforcement learning, and alignment workflows.
4. Create evaluation benchmarks and methods for measuring model behavior.
5. Develop reward models and environments for iterative model improvement.
6. Run training and experimentation across multi-GPU systems.
7. Optimize models for local, edge, and hybrid local-cloud deployment.
8. Collaborate with research, silicon, software, and product engineering teams.
9. Write robust Python code and production-quality ML infrastructure.
10. Communicate experimental results, tradeoffs, and system requirements.
11. Bring at least five years of professional software development experience.
12. Demonstrate at least two years of applied ML engineering or research experience.","Intel designs semiconductor processors, platforms, and software used in personal computing, data centers, networking, and edge systems.
Its AI initiatives span hardware acceleration, optimized software, local inference, and intelligent client experiences.",https://www.linkedin.com/jobs/view/machine-learning-engineer-at-intel-4427792503
"Applied Scientist, AWS Quick",Amazon Web Services (AWS),Cloud Computing / Agentic AI and Intelligent Automation,"Santa Clara, CA (Hybrid)",Python; Java; C++; autonomous agents; API orchestration; planning; multimodal models; vision-language models; reinforcement learning; symbolic reasoning; optimization; high-performance computing; experimentation,3+ years building models for business applications; PhD or master's degree plus 4+ years may be required depending on background,"1. Conduct applied research for intelligent automation and agentic AI products.
2. Develop autonomous agents capable of planning, tool use, and API orchestration.
3. Investigate multimodal and vision-language approaches for business workflows.
4. Combine neural, reinforcement-learning, and symbolic reasoning techniques.
5. Design experiments that compare model quality, reliability, and efficiency.
6. Build prototypes and partner with engineers to move research into production.
7. Develop evaluation methods for reasoning, task completion, and safety.
8. Communicate findings through technical documents, reviews, and presentations.
9. Program in Python, Java, or C++ and use modern scientific tooling.
10. Apply algorithms, optimization, statistics, and high-performance computing.
11. Bring at least three years of experience building business-facing models.
12. Hold an advanced technical degree or equivalent applied research experience.","Amazon Web Services is a global cloud platform offering computing, storage, databases, analytics, machine learning, and generative AI services.
AWS Quick focuses on intelligent automation experiences that help customers complete business tasks using AI agents and cloud services.",https://www.linkedin.com/jobs/view/applied-scientist-aws-quick-at-amazon-web-services-aws-4418452068
Staff Machine Learning Engineer,CVS Health,Healthcare / Enterprise Generative AI,"Hartford, CT",Python; AWS Bedrock; GCP Vertex AI; generative AI; vector search; agentic frameworks; serverless computing; event-driven architecture; cloud security; MLOps; responsible AI; healthcare data,Staff-level role; exact minimum years should be confirmed on the LinkedIn posting,"1. Design and operationalize scalable generative AI solutions for healthcare use cases.
2. Build secure agentic applications using cloud-native AI services.
3. Implement vector search, retrieval, grounding, and model orchestration.
4. Develop serverless and event-driven architectures for production AI workloads.
5. Integrate AWS Bedrock, GCP Vertex AI, and supporting enterprise systems.
6. Establish testing, evaluation, monitoring, and observability practices.
7. Apply privacy, security, governance, and responsible-AI requirements.
8. Collaborate with product, clinical, data, architecture, and engineering teams.
9. Translate complex business requirements into reliable AI capabilities.
10. Mentor engineers and influence technical standards across the organization.
11. Demonstrate senior production experience with ML and generative AI systems.
12. Understand healthcare data sensitivity and regulated technology environments.","CVS Health is a healthcare company whose businesses include pharmacy services, health insurance, care delivery, and consumer health products.
Its technology teams use data and AI to improve experiences for members, patients, providers, and employees while operating under healthcare privacy and safety requirements.",https://www.linkedin.com/jobs/view/staff-machine-learning-engineer-at-cvs-health-4433367684
